Feature,Importance,Importance_Percentage
cat__OCCUPATION_TYPE_Sales staff,0.0037071074,0.37071076
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.0036996908,0.3699691
cat__OCCUPATION_TYPE_Drivers,0.0036967394,0.36967397
cat__NAME_FAMILY_STATUS_Civil marriage,0.003668348,0.36683482
num__DAYS_ID_PUBLISH,0.0036513926,0.36513928
cat__ORGANIZATION_TYPE_Trade: type 2,0.0036449614,0.36449617
num__BASEMENTAREA_AVG,0.003637997,0.36379972
cat__NAME_HOUSING_TYPE_Co-op apartment,0.003634894,0.36348942
cat__FLAG_OWN_REALTY_Y,0.0036338938,0.3633894
num__APARTMENTS_MODE,0.0036300898,0.363009
num__DAYS_CREDIT,0.0036265934,0.36265936
num__AMT_CREDIT_SUM,0.0036236513,0.36236516
cat__ORGANIZATION_TYPE_Telecom,0.0036190227,0.3619023
num__FLAG_PHONE,0.003585387,0.35853872
num__MEAN_AMT_APPLICATION,0.0035749928,0.3574993
num__EXT_SOURCE_INCOME,0.0035661664,0.35661668
num__CREDIT_PER_PERSON,0.0035653885,0.35653886
cat__ORGANIZATION_TYPE_Restaurant,0.0035620811,0.35620815
num__APARTMENTS_AVG,0.0035612748,0.3561275
num__YEARS_BEGINEXPLUATATION_MEDI,0.0035525407,0.35525408
num__REG_REGION_NOT_WORK_REGION,0.0035491919,0.3549192
cat__OCCUPATION_TYPE_High skill tech staff,0.0035282616,0.35282618
num__LIVINGAREA_MEDI,0.0035133937,0.3513394
cat__ORGANIZATION_TYPE_Other,0.0035001405,0.35001406
num__FLAG_DOCUMENT_11,0.0034937616,0.3493762
cat__ORGANIZATION_TYPE_Police,0.003491064,0.34910643
cat__HOUSETYPE_MODE_block of flats,0.0034802766,0.34802768
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0034771238,0.3477124
cat__NAME_HOUSING_TYPE_Rented apartment,0.0034720027,0.3472003
num__MEAN_AMT_CREDIT,0.003464568,0.34645683
num__BUREAU_LOAN_COUNT,0.0034296007,0.3429601
num__YEARS_BEGINEXPLUATATION_AVG,0.0034151205,0.34151208
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0034109333,0.34109336
num__DAYS_LAST_PHONE_CHANGE,0.0034105915,0.34105918
num__MEAN_PAYMENT_DELAY,0.0034081885,0.34081888
num__LANDAREA_MEDI,0.0034078555,0.34078556
num__CLOSED_LOAN_COUNT,0.0034030464,0.34030467
cat__ORGANIZATION_TYPE_Trade: type 6,0.0033930526,0.33930528
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0033791966,0.33791968
cat__NAME_HOUSING_TYPE_House / apartment,0.003376486,0.33764863
num__DAYS_REGISTRATION,0.0033762346,0.33762348
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.0033690934,0.33690935
cat__OCCUPATION_TYPE_Medicine staff,0.0033570463,0.33570465
num__FLAG_DOCUMENT_13,0.0033448003,0.33448005
cat__OCCUPATION_TYPE_Laborers,0.0032991064,0.32991067
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0032928071,0.32928073
num__LIVINGAREA_MODE,0.0032881887,0.3288189
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0032880418,0.3288042
num__NONLIVINGAREA_MEDI,0.0032851517,0.3285152
cat__ORGANIZATION_TYPE_Industry: type 3,0.0032627548,0.3262755
cat__NAME_HOUSING_TYPE_With parents,0.0032469516,0.32469517
num__NONLIVINGAREA_MODE,0.003221593,0.32215932
cat__NAME_HOUSING_TYPE_Office apartment,0.003217984,0.3217984
num__AMT_INCOME_TOTAL,0.0032099313,0.32099316
num__LIVINGAREA_AVG,0.0032032167,0.32032168
num__CNT_CHILDREN,0.0031806105,0.31806108
cat__ORGANIZATION_TYPE_Legal Services,0.0031804654,0.31804657
cat__ORGANIZATION_TYPE_Industry: type 1,0.003170731,0.31707314
cat__ORGANIZATION_TYPE_Industry: type 9,0.0031685145,0.31685147
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0031632648,0.3163265
num__HOUR_APPR_PROCESS_START,0.0031621277,0.3162128
num__ENTRANCES_MODE,0.0031618038,0.3161804
num__CNT_FAM_MEMBERS,0.0031571335,0.31571338
num__ENTRANCES_MEDI,0.003148717,0.31487173
cat__ORGANIZATION_TYPE_Agriculture,0.0031482538,0.31482542
num__PREV_APP_COUNT,0.0031479849,0.3147985
cat__OCCUPATION_TYPE_Security staff,0.0031430414,0.31430417
cat__NAME_FAMILY_STATUS_Single / not married,0.0031428775,0.31428778
cat__OCCUPATION_TYPE_Cooking staff,0.003119652,0.31196523
num__REGION_POPULATION_RELATIVE,0.0031096456,0.31096458
cat__NAME_HOUSING_TYPE_Municipal apartment,0.003085427,0.30854273
cat__WALLSMATERIAL_MODE_Block,0.0030797936,0.30797938
num__LANDAREA_MODE,0.0030785934,0.30785936
num__ENTRANCES_AVG,0.0030761396,0.30761397
cat__NAME_TYPE_SUITE_Unaccompanied,0.0030627926,0.30627927
num__ELEVATORS_MODE,0.0030269008,0.30269012
num__REG_REGION_NOT_LIVE_REGION,0.003021657,0.30216572
cat__ORGANIZATION_TYPE_Trade: type 3,0.0030179957,0.3017996
cat__NAME_FAMILY_STATUS_Widow,0.0030105377,0.3010538
